article_name,article_source,article_link,IEEE Keywords,INSPEC: Controlled Indexing,INSPEC: Non-Controlled Indexing,Author Keywords
Smale Horseshoes and Symbolic Dynamics in the Buck每Boost DC每DC Converter,IEEE Transactions on Industrial Electronics,http://ieeexplore.ieee.org/document/7926377/,"['Manifolds', 'Chaos', 'Stability criteria', 'Circuit stability', 'Numerical stability', 'DC-DC power converters']",[],[],"['Buck每boost converter', 'chaos', 'smale horseshoe', 'symbolic dynamics']"
A Novel Single-Input每Dual-Output Impedance Network Converter,IEEE Journal of Emerging and Selected Topics in Power Electronics,http://ieeexplore.ieee.org/document/7827092/,"['Impedance', 'Capacitors', 'Power electronics', 'Voltage control', 'Switches', 'Vehicles', 'Power systems']","['bridge circuits', 'impedance convertors']","['single-input-dual-output impedance network converter', 'SIDO impedance network converter', 'Z-source half-bridge converters', 'dual-output application', 'power 100 W']","['Impedance network', 'shoot-through', 'single-input dual-output (SIDO)', 'Z-source']"
A Z-Source Half-Bridge Converter,IEEE Transactions on Industrial Electronics,http://ieeexplore.ieee.org/document/6494636/,[],"['power supplies to apparatus', 'capacitors', 'power convertors']","['electrochemical power supply', 'Z-source half-bridge converter', 'LC network', 'LC components', 'input capacitors', 'output voltage values', 'negative output voltages', 'positive output voltages']","['Z-source', 'Half-bridge converter', 'reduced number', 'shoot-through']"
Design of Analogue Chaotic PWM for EMI Suppression,IEEE Transactions on Electromagnetic Compatibility,http://ieeexplore.ieee.org/document/5590287/,"['Pulse width modulation', 'Oscillators', 'Electromagnetic interference', 'Chaotic communication', 'Frequency conversion', 'DC-DC power converters']","['PWM power convertors', 'chaos', 'DC-DC power convertors', 'electromagnetic interference', 'interference suppression']","['DC-DC converter', 'electromagnetic interference suppression', 'analogue chaotic carrier', 'chaotic pulse width modulation boost converter']","['electromagnetic interference (EMI) suppression', 'Analogue chaotic carrier', 'chaotic pulse width modulation (CPWM)', 'dc每dc converter']"
A novel H5-D topology for transformerless photovoltaic grid-connected inverter application,2016 IEEE 8th International Power Electronics and Motion Control Conference (IPEMC-ECCE Asia),http://ieeexplore.ieee.org/document/7512376/,"['Topology', 'Inverters', 'Photovoltaic systems', 'Fluctuations', 'Capacitors', 'Switches']","['switching convertors', 'electromagnetic interference', 'invertors', 'photovoltaic power systems']","['drain electrode', 'H5-D topology', 'transformerless photovoltaic grid-connected inverter application', 'TPV grid-connected inverters', 'solar power generation systems', 'nongalvanic isolation', 'common-mode current suppression', 'parasitic capacitors', 'photovoltaic panels']","['Renewable Energy System', 'transformerless', 'photovoltaic', 'inverter topology', 'common-mode current']"
A Common Grounded Z-Source DC每DC Converter With High Voltage Gain,IEEE Transactions on Industrial Electronics,http://ieeexplore.ieee.org/document/7378484/,"['DC-DC power converters', 'Switches', 'Inverters', 'Inductors', 'Stress', 'Power systems', 'Capacitors']",['DC-DC power convertors'],"['grounded Z-source dc-dc converter', 'high voltage gain']","['Common ground', 'dc-dc converter', 'high voltage gain', 'Z-source']"
Frequency Splitting Phenomena of Magnetic Resonant Coupling Wireless Power Transfer,IEEE Transactions on Magnetics,http://ieeexplore.ieee.org/document/6971783/,"['Couplings', 'Magnetic resonance', 'Wireless communication', 'Coils', 'Magnetoacoustic effects', 'Resistance']","['magnetic fields', 'coils', 'inductive power transmission']","['tuned frequency method', 'frequency splitting phenomena', 'magnetic resonant coupling wireless power', 'WPT system', 'three-coil WPT', 'two-coil WPT', 'frequency characteristics', 'system efficiency', 'magnetic field distribution']",[]
Modeling and analysis of the stable power supply based on the magnetic flux leakage transformer,2014 International Power Electronics and Application Conference and Exposition,http://ieeexplore.ieee.org/document/7037927/,"['Magnetic flux leakage', 'Power supplies', 'Windings', 'Integrated circuit modeling', 'Magnetic circuits', 'Saturation magnetization', 'Anodes']","['transformers', 'load management', 'magnetic flux', 'magnetrons', 'power supply circuits', 'power system faults', 'power system reliability', 'power system stability']","['MFLT complex magnetic field', 'power supply stability analysis', 'power supply system stability modeling', 'electronic equipment', 'magnetic flux leakage transformer', 'nonlinear transient field circuit coupled finite element model', 'special magnetron load']","['field-circuit coupled model', 'stable power supply', 'magnetic flux leakage transformer', 'magnetron']"
On Thermal Impact of Chaotic Frequency Modulation SPWM Techniques,IEEE Transactions on Industrial Electronics,http://ieeexplore.ieee.org/document/7736981/,"['Insulated gate bipolar transistors', 'Switches', 'Frequency modulation', 'Estimation', 'Switching frequency', 'Electromagnetic interference']","['AC-DC power convertors', 'electromagnetic compatibility', 'PWM power convertors', 'switching convertors']","['single-phase ac-dc converter', 'electromagnetic compatibility', 'power losses', 'semiconductor datasheet information', 'chaotic mapping', 'chaotic frequency modulation', 'freewheeling diodes', 'insulated-gate bipolar transistors', 'electromagnetic interference suppression', 'SPWM']","['ac每dc converter', 'chaotic frequency modulation每sinusoidal pulse width modulation (CFM-SPWM)', 'semiconductor power loss estimation', 'thermal design']"
Extended Switched-Boost DC-DC Converters Adopting Switched-Capacitor/Switched-Inductor Cells for High Step-up Conversion,IEEE Journal of Emerging and Selected Topics in Power Electronics,http://ieeexplore.ieee.org/document/7790823/,"['Switches', 'Inductors', 'DC-DC power converters', 'Capacitors', 'Renewable energy sources', 'Stress']","['DC-DC power convertors', 'diodes', 'network topology', 'switched capacitor networks']","['switched-boost DC-DC converter', 'switched-capacitor-switched-inductor cell', 'high step-up conversion', 'voltage conversion ratio', 'inductor', 'diodes', 'operating principle analysis']","['DC每DC converter', 'switched-boost network', 'switched capacitor (SC)', 'switched inductor (SL)']"
Common-Mode Electromagnetic Interference Calculation Method for a PV Inverter With Chaotic SPWM,IEEE Transactions on Magnetics,http://ieeexplore.ieee.org/document/7120165/,"['Electromagnetic interference', 'Inverters', 'Fourier series', 'Switching frequency', 'Equivalent circuits', 'Switches', 'Capacitors']","['electromagnetic interference', 'equivalent circuits', 'Fourier series', 'PWM invertors']","['common-mode electromagnetic interference calculation', 'SPWM', 'EMI', 'spectrum calculation', 'double Fourier series', 'photovoltaic inverters', 'chaotic sinusoidal pulsewidth modulation', 'equivalent circuit', 'single-phase PV inverter']","['Common-mode EMI', 'spectrum calculation', 'PV Inverters', 'chaotic SPWM']"
Stability Analysis of the Coupled Synchronous Reluctance Motor Drives,IEEE Transactions on Circuits and Systems II: Express Briefs,http://ieeexplore.ieee.org/document/7460928/,"['Bifurcation', 'Stability analysis', 'Oscillators', 'Reluctance motors', 'Couplings', 'Circuit stability', 'Numerical stability']","['bifurcation', 'reluctance motor drives', 'stability']","['stability analysis', 'coupled synchronous reluctance motor drives', 'oscillation-quenching phenomena', 'SynRM drives', 'transition mechanism', 'transcritical bifurcation']","['Hopf bifurcation', 'oscillation-quenching phenomenon', 'synchronous reluctance motor (SynRM) drive', 'transcritical bifurcation']"
A modified AGREE reliability allocation method research in power converter,"2014 10th International Conference on Reliability, Maintainability and Safety (ICRMS)",http://ieeexplore.ieee.org/document/7107251/,"['Resource management', 'Complexity theory', 'Integrated circuit reliability', 'Complex networks', 'Reliability engineering', 'Indexes']","['reliability', 'power convertors']","['circuit circulation', 'power converter topology', 'modified AGREE reliability allocation method', 'component complexity', 'technical maturity']","['Power converter', 'Modified AGREE method', 'Reliability allocation']"
A single-switch high step-up converter without coupled inductor,2016 IEEE 8th International Power Electronics and Motion Control Conference (IPEMC-ECCE Asia),http://ieeexplore.ieee.org/document/7512635/,"['Inductors', 'Switches', 'Capacitors', 'Equivalent circuits', 'Power electronics', 'Motion control', 'Conferences']","['switching convertors', 'electromagnetic interference', 'renewable energy sources']","['parameter design', 'single-switch high step-up converter', 'renewable energy sources', 'SEPIC converter', 'EMI problem', 'control strategy complexity reduction', 'switch low voltage stress', 'operating principle']","['renewable energy', 'high step-up', 'DC-DC', 'SEPIC']"
Hybrid Z-Source Boost DC每DC Converters,IEEE Transactions on Industrial Electronics,http://ieeexplore.ieee.org/document/7563395/,"['DC-DC power converters', 'Inductors', 'Capacitors', 'Inverters', 'Switches', 'Power systems', 'Equivalent circuits']","['AC-AC power convertors', 'AC-DC power convertors', 'DC-AC power convertors', 'DC-DC power convertors', 'photovoltaic power systems']","['hybrid Z-source boost DC-DC converters', 'photovoltaic', 'Z-source networks', 'DC-AC power conversion', 'AC-AC power conversion', 'AC-DC power conversion']","['DC每DC converters', 'photovoltaic (PV)', 'voltage boost abilities', 'Z source']"
A study of hybrid control algorithms for buck-boost converter based on fixed switching frequency,2013 IEEE 8th Conference on Industrial Electronics and Applications (ICIEA),http://ieeexplore.ieee.org/document/6566548/,"['Switching frequency', 'Inductors', 'Simulation', 'Mathematical model', 'Automata', 'Switches']","['switching convertors', 'dynamic response']","['power electronic converter', 'hybrid control algorithm', 'buck-boost converter', 'fixed switching frequency', 'hybrid dynamic system', 'hybrid automaton model', 'CCM', 'DCM', 'transition guard', 'dynamic response']","['fixed switching frequency', 'Buck-Boost converter', 'hybrid systems', 'hybrid automaton']"
Bifurcation and Border Collision Analysis of Voltage-Mode-Controlled Flyback Converter Based on Total Ampere-Turns,IEEE Transactions on Circuits and Systems I: Regular Papers,http://ieeexplore.ieee.org/document/5729352/,"['Switches', 'Bifurcation', 'Converters', 'Orbits', 'Aerospace electronics']","['transformer windings', 'bifurcation', 'power convertors']","['PSIM simulation', 'border collision analysis', 'voltage-mode-controlled flyback converter', 'total ampere-turns', 'transformer windings', 'bifurcation behaviors', 'discrete-time maps', 'Lyapunov exponent spectrums']","['total ampere-turns', 'Bifurcation', 'border collision point', 'existence condition', 'flyback converter', 'stability condition']"
"Frequency, Impedance Characteristics and HF Converters of Two-Coil and Four-Coil Wireless Power Transfer",IEEE Journal of Emerging and Selected Topics in Power Electronics,http://ieeexplore.ieee.org/document/6783963/,"['Couplings', 'Impedance', 'Frequency conversion', 'Magnetic resonance', 'Topology', 'Coils']","['bifurcation', 'inductive power transmission', 'magnetic resonance', 'power convertors']","['two-coil wireless power transfer', 'four-coil wireless power transfer', 'magnetically coupled wireless power transfer', 'inductively coupled magnetic resonances', 'strongly coupled magnetic resonances', 'frequency characteristics', 'impedance characteristics']",[]
Sneak circuit analysis for a DCM flyback DC-DC converter considering parasitic parameters,2016 IEEE 8th International Power Electronics and Motion Control Conference (IPEMC-ECCE Asia),http://ieeexplore.ieee.org/document/7512450/,"['Flyback transformers', 'Switches', 'Inductance', 'Capacitance', 'Integrated circuit modeling', 'Windings', 'Power electronics']","['network analysis', 'DC-DC power convertors']","['switching loss', 'sneak circuit analysis', 'DC-DC converter', 'DCM flyback converter', 'voltage stress']","['parasitic parameter', 'Sneak circuit', 'DCM flyback converter']"
Detecting bifurcation types in DC-DC switching converters by duplicate symbolic sequence,2013 IEEE International Symposium on Circuits and Systems (ISCAS2013),http://ieeexplore.ieee.org/document/6572495/,"['Bifurcation', 'Switches', 'Orbits', 'Switching converters', 'Educational institutions', 'Chaos']","['switching', 'bifurcation', 'DC-DC power convertors']","['voltage-mode-controlled flyback converter', 'bifurcation types', 'DC-DC switching converters', 'duplicate symbolic sequence', 'coarse-grained symbolic sequence', 'secondary symbolic sequence']","['duplicate symbolic sequence', 'DC-DC converters', 'border collision', 'bifurcation', 'main switching block']"
